
148,แคล-คอมพ์ อีเล็คโทรนิคส์ (ประเทศไทย) จำกัด (มหาชน),0107543000023,117026203116,-4.28,1115608613,37.68,74117060091,-6.64,10450002831,26014644376,CAL-COMP ELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED,วันที่ 11 ส.ค. 2543,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
149,ผลิตภัณฑ์คอนกรีตชลบุรี จำกัด (มหาชน),0107546000261,1704590000,25.66,46365000,123.99,2303772000,10.57,692007545.25,1149023000,CHONBURI CONCRETE PRODUCT PUBLIC COMPANY LIMITED,วันที่ 8 ก.ย. 2546,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
150,แคปปิทอล เอ็นจิเนียริ่ง เน็ตเวิร์ค จำกัด (มหาชน),0107536000935,-340177118,-182.42,-381593802,-145.90,1363500398,-19.05,1197518153,1295610374,CAPITAL ENGINEERING NETWORK PUBLIC COMPANY LIMITED,วันที่ 30 ส.ค. 2536,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
151,โรงแรมเซ็นทรัลพลาซา จำกัด (มหาชน),0107536001389,3191250122,49.45,633615215,2300.64,23749125899,-0.64,1350000000,7383374540,CENTRAL PLAZA HOTEL PUBLIC COMPANY LIMITED,วันที่ 12 พ.ย. 2536,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
152,ตาชำนิ จำกัด (มหาชน),0107564000332,460358384,28.72,85469311,24.47,749688469,21.60,146312217,638388052,CHAMNI' SEYE PUBLIC COMPANY LIMITED,วันที่ 3 ก.ย. 2564,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
154,ซีเฟรชอินดัสตรี จำกัด (มหาชน),0107537000751,1679768021,-23.26,65556779,-61.62,2674313985,-1.99,927099200,1833038599,SEAFRESH INDUSTRY PUBLIC COMPANY LIMITED,วันที่ 9 มี.ค. 2537,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
155,คันทรี่ กรุ๊ป ดีเวลลอปเมนท์ จำกัด (มหาชน),0107538000177,297416702,-37.95,-292739008,-199.08,11595212975,6.69,5042338720.5,3778445494,COUNTRY GROUP DEVELOPMENT PUBLIC COMPANY LIMITED,วันที่ 29 มี.ค. 2538,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
156,คันทรี่ กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),0107557000187,106066087,-32.21,-52581772,-428.95,6651398887,1.79,5674524953,5544619933,COUNTRY GROUP HOLDINGS PUBLIC COMPANY LIMITED,วันที่ 15 พ.ค. 2557,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
157,เจริญอุตสาหกรรม จำกัด (มหาชน),0107564000278,1822304074,-0.72,67762285,-34.56,1724905190,-10.89,400000000,1349484326,CHIN HUAY PUBLIC COMPANY LIMITED,วันที่ 8 ก.ค. 2564,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
159,จรัญประกันภัย จำกัด (มหาชน),0107537000807,311219376,-35.31,26972565,-61.36,916246964,-6.51,120000000,559392346,CHARAN INSURANCE PUBLIC COMPANY LIMITED,วันที่ 15 มี.ค. 2537,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
160,เชฎฐ์ เอเชีย จำกัด (มหาชน),0107565000522,373152423,-3.43,60050183,-42.35,3707835794,54.45,1091992990,3421406851,CHASE ASIA PUBLIC COMPANY LIMITED,วันที่ 9 ส.ค. 2565,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
